fold,selected_model,train_start,train_end,test_start,test_end,train_rows,test_rows,model_mae,model_rmse,model_r2,baseline_mae,baseline_rmse,baseline_r2,model_tail_mae,baseline_tail_mae,tail_threshold,tail_observations
1,ridge_alpha_100,2020-02-03,2022-06-17,2022-06-21,2023-04-05,600,200,0.009872229139597045,0.013162391984499958,-0.02311845113466271,0.011329680496307724,0.01441526742735594,-0.22716139323857276,0.020675758287672676,0.017266424767352472,0.026133271933431203,33
2,ridge_alpha_100,2020-02-03,2023-04-05,2023-04-06,2024-01-23,800,200,0.006550049627435693,0.008634091283869303,-0.11870046402539547,0.007082993836893059,0.008961268817604732,-0.20509020665340638,0.0232829655432115,0.023597914136538604,0.025600492137023867,9
3,ols,2020-02-03,2024-01-23,2024-01-24,2024-11-06,1000,200,0.008002148297956339,0.01077698503638428,-0.11094655346588267,0.008853307671489015,0.011432473228339929,-0.25019855437435834,0.02383405637638422,0.022652316064885682,0.023752698310340017,16
4,ols,2020-02-03,2024-11-06,2024-11-07,2025-08-27,1200,200,0.010088935783431152,0.015312567176288983,0.173780829048517,0.012706074580402262,0.01876608067254281,-0.24092750794830065,0.02183441094790648,0.02204441508902824,0.02255172278132283,33
5,ridge_alpha_100,2020-02-03,2025-08-27,2025-08-28,2026-06-15,1400,200,0.00759838961017421,0.009653867576496288,0.04878143702463944,0.00898034645270189,0.010812462400083092,-0.19323741587880994,0.017989223881847864,0.01661940891442582,0.021888788096504144,26
6,ridge_alpha_100,2020-02-03,2026-06-15,2026-06-16,2026-08-21,1600,47,0.010266516545534008,0.01541368527441643,-0.05709765455876581,0.013821463958085532,0.01695656418525066,-0.27931605861721676,0.025296340168824774,0.019882747745773716,0.021363240206577584,9
