method,mae,rmse,r2,tail_mae,mae_improvement_vs_baseline_pct
selected_regression,0.008505135405309443,0.011948976787928965,0.06982121258491825,0.02134217507248119,14.704976015163165
rolling_vol_21d_baseline,0.00997143210466935,0.01350969255583186,-0.18903852996391346,0.01970734413503664,0.0
