scenario,method,observations,mean_mae_difference,ci_lower,ci_upper,confidence
All forecasts,Gaussian,1047,-0.0014662966993599083,-0.0017759987461234486,-0.001156594652596368,0.95
All forecasts,IID bootstrap,1047,-0.0014662966993599083,-0.0017734344682669323,-0.0011586730260077012,0.95
All forecasts,Moving-block bootstrap (20d),1047,-0.0014662966993599083,-0.0021834584201030714,-0.0009237100671525313,0.95
Ordinary volatility,Gaussian,921,-0.0018905552034178474,-0.00220547855559162,-0.0015756318512440749,0.95
Ordinary volatility,IID bootstrap,921,-0.0018905552034178474,-0.0022091342712536426,-0.0015730684477303185,0.95
Ordinary volatility,Moving-block bootstrap (20d),921,-0.0018905552034178474,-0.002785692158766329,-0.0011791611282107935,0.95
High volatility,Gaussian,126,0.0016348309374445518,0.0006358865801442562,0.002633775294744847,0.95
High volatility,IID bootstrap,126,0.0016348309374445518,0.0005830624154105265,0.002596785564021391,0.95
High volatility,Moving-block bootstrap (20d),126,0.0016348309374445518,0.00037843410205628045,0.002899641389225167,0.95
