volatility_scenario,observations,model_mae,baseline_mae,mae_difference,mae_improvement_pct,model_rmse,baseline_rmse
High volatility (training-defined tail),126,0.02134217507248119,0.01970734413503664,0.0016348309374445494,-8.295541632817333,0.02642205083175775,0.025364244829516117
Ordinary volatility,921,0.006748928024132851,0.008639483227550699,-0.001890555203417848,21.882734807436186,0.00817326574750019,0.010930060345089846
