date,return_lag_1,absolute_return_lag_1,rolling_volatility_5d,volume_change_1d,intraday_range_pct,close_vs_5d_mean,weekday,weekday_Monday,weekday_Tuesday,weekday_Wednesday,weekday_Thursday,weekday_Friday,target_next_day_abs_return
2026-04-07,-0.020706173221046176,0.020706173221046176,0.01611438356034156,1.1189293073545294,0.04099080634771916,-0.007983094623150833,Tuesday,0,1,0,0,0,0.02130177514792897
2026-04-08,0.02130177514792897,0.02130177514792897,0.014032438519598494,-0.33975724531669627,0.01245850261172394,0.009112807040793092,Wednesday,0,0,1,0,0,0.006141367323291069
2026-04-09,0.006141367323291069,0.006141367323291069,0.013989501632123529,-0.31465575857268424,0.01949806949806954,0.01147809609604944,Thursday,0,0,0,1,0,3.838918960419324e-05
2026-04-10,-3.838918960419324e-05,3.838918960419324e-05,0.01404316456973835,0.1127212509513158,0.012181321640126155,0.007870116001021499,Friday,0,0,0,0,1,0.004914004914005066
2026-04-13,-0.004914004914005066,0.004914004914005066,0.013738555985593818,0.1579735476179085,0.013552535325145273,0.0026536280433553383,Monday,1,0,0,0,0,0.001427469135802495
2026-04-14,-0.001427469135802495,0.001427469135802495,0.009262140754830922,0.3349279190901495,0.01828386275530872,-0.002889282687418171,Tuesday,0,1,0,0,0,0.029362902291079074
2026-04-15,0.029362902291079074,0.029362902291079074,0.012299892685505135,0.03189533500748687,0.0338937093275488,0.020468351424434816,Wednesday,0,0,1,0,0,0.011372593176444235
2026-04-16,-0.011372593176444235,0.011372593176444235,0.014076519470284399,-0.13203635648945544,0.022076461769115603,0.006619074552486337,Thursday,0,0,0,1,0,0.025930144267274358
2026-04-17,0.025930144267274358,0.025930144267274358,0.016778781023268966,0.4180936032480769,0.02090200779142937,0.025081747073416816,Friday,0,0,0,0,1,0.010435554897679777
2026-04-20,0.010435554897679777,0.010435554897679777,0.015585510650672395,-0.4044203202058564,0.01474124218547685,0.02500863402255349,Monday,1,0,0,0,0,0.025196850393700787
2026-04-21,-0.025196850393700787,0.025196850393700787,0.02115475864337015,0.3722198167491382,0.027255985267035116,-0.006294426856221391,Tuesday,0,1,0,0,0,0.026298981853702497
2026-04-22,0.026298981853702497,0.026298981853702497,0.02049846089883886,-0.13862945557093442,0.025651557015906223,0.014732321956583139,Wednesday,0,0,1,0,0,0.0009517882637184449
2026-04-23,0.0009517882637184449,0.0009517882637184449,0.019044597038723708,-0.22773979840183878,0.014979367012670669,0.008185538881309684,Thursday,0,0,0,1,0,0.008667666313133204
2026-04-24,-0.008667666313133204,0.008667666313133204,0.017369695557448037,0.14244079105166385,0.012502062290333908,-0.0011644360591946956,Friday,0,0,0,0,1,0.01272780934110529
2026-04-27,-0.01272780934110529,0.01272780934110529,0.017261112536447597,0.08673749138758158,0.012364237663948367,-0.009907950038477442,Monday,1,0,0,0,0,0.011584021523859178
2026-04-28,0.011584021523859178,0.011584021523859178,0.014163555511422489,-0.034915241272033715,0.016780803055060838,-0.0017920618298207236,Tuesday,0,1,0,0,0,0.001994754534372478
2026-04-29,-0.001994754534372478,0.001994754534372478,0.008398051949201811,-0.24915879830900067,0.014950476546439917,-0.0015743026504456692,Wednesday,0,0,1,0,0,0.004367620387163651
2026-04-30,0.004367620387163651,0.004367620387163651,0.008755612588399015,2.0567302459951486,0.029057301293900235,0.004330446369087415,Thursday,0,0,0,1,0,0.032393587617468134
2026-05-01,0.032393587617468134,0.032393587617468134,0.015116147845236554,-0.12991854061858354,0.031736924207921756,0.029941616788482284,Friday,0,0,0,0,1,0.011815520811023106
2026-05-04,-0.011815520811023106,0.011815520811023106,0.014883972230856956,-0.41602774342410564,0.020632207541435008,0.010918784691790862,Monday,1,0,0,0,0,0.02655059061517906
2026-05-05,0.02655059061517906,0.02655059061517906,0.016892956549890318,0.05664027357611845,0.029137853209352773,0.0276494029667238,Tuesday,0,1,0,0,0,0.011717925258638795
2026-05-06,0.011717925258638795,0.011717925258638795,0.015818114294090708,0.1830064224904624,0.02468829257045556,0.026814094185041437,Wednesday,0,0,1,0,0,0.0002434697923550111
2026-05-07,-0.0002434697923550111,0.0002434697923550111,0.016397493678348522,-0.22476268199888394,0.02195180972793592,0.014900077678130064,Thursday,0,0,0,1,0,0.020456443083773923
2026-05-08,0.020456443083773923,0.020456443083773923,0.013891241752340043,0.16514265560771535,0.01641322713009893,0.026111048919735813,Friday,0,0,0,0,1,0.002181917359879937
2026-05-11,-0.002181917359879937,0.002181917359879937,0.011239229349322753,-0.19823360556111302,0.012500899037259452,0.012642461231861635,Monday,1,0,0,0,0,0.007243405767391131
2026-05-12,0.007243405767391131,0.007243405767391131,0.008238634176357557,0.08286553798664231,0.009263057150669878,0.012536493216555256,Tuesday,0,1,0,0,0,0.013805970149253666
2026-05-13,0.013805970149253666,0.013805970149253666,0.008495902691649281,0.15161562126398653,0.025281090289608232,0.018567114940256646,Wednesday,0,0,1,0,0,0.0022083179977917533
2026-05-14,-0.0022083179977917533,0.0022083179977917533,0.008895638531653658,-0.32949761465758465,0.01691014608765257,0.008911413646574662,Thursday,0,0,0,1,0,0.006773750041916937
2026-05-15,0.006773750041916937,0.006773750041916937,0.006144473742568811,0.5530914972720959,0.022423632091305833,0.011018393173445551,Friday,0,0,0,0,1,0.0079605635679314
2026-05-18,-0.0079605635679314,0.0079605635679314,0.00767942966873922,-0.3714696228973654,0.01915134559019451,-0.0005033725963959901,Monday,1,0,0,0,0,0.0037939833467635076
2026-05-19,0.0037939833467635076,0.0037939833467635076,0.007466922502262597,0.22505615019871117,0.014008148971276451,0.0004885819077451448,Tuesday,0,1,0,0,0,0.010971000434826239
2026-05-20,0.010971000434826239,0.010971000434826239,0.00667882298661266,-0.11683875324809856,0.015829364813200172,0.00918196994991649,Wednesday,0,0,1,0,0,0.009065343258891634
2026-05-21,0.009065343258891634,0.009065343258891634,0.006687991173311836,0.1516368822497427,0.017073292255568064,0.013740792937485091,Thursday,0,0,0,1,0,0.012557788779959944
2026-05-22,0.012557788779959944,0.012557788779959944,0.00743479783888353,0.01641091428429653,0.01816281196916243,0.02064288405480963,Friday,0,0,0,0,1,0.0015866848002072942
2026-05-26,-0.0015866848002072942,0.0015866848002072942,0.005194714930851993,0.09915841281598214,0.013406124822328393,0.012006354374540562,Tuesday,0,1,0,0,0,0.008173061330392972
2026-05-27,0.008173061330392972,0.008173061330392972,0.004950462624639946,0.050633354953250276,0.016086660396328542,0.012382428805919554,Wednesday,0,0,1,0,0,0.005340196236126582
2026-05-28,0.005340196236126582,0.005340196236126582,0.004745443392282897,-0.04383281216826529,0.010396549504313178,0.01103202846975071,Thursday,0,0,0,1,0,0.0014399539214744461
2026-05-29,-0.0014399539214744461,0.0014399539214744461,0.005502668039931248,0.45222284597864104,0.017544703712613352,0.004978841533715084,Friday,0,0,0,0,1,0.018425943728770156
2026-06-01,-0.018425943728770156,0.018425943728770156,0.00923922604632187,-0.3024104130946984,0.01911990310859916,-0.011941473233294198,Monday,1,0,0,0,0,0.02902288531226538
2026-06-02,0.02902288531226538,0.02902288531226538,0.015339135340995966,-0.08833619075792798,0.02850777336889347,0.012248463322050318,Tuesday,0,1,0,0,0,0.015672588832487344
2026-06-03,-0.015672588832487344,0.015672588832487344,0.01707505878549937,0.14150733553572015,0.025749980106628392,-0.00323836693781554,Wednesday,0,0,1,0,0,0.0031264101076518003
2026-06-04,0.0031264101076518003,0.0031264101076518003,0.016953016835372193,-0.11738705331118526,0.012418989241132852,0.0007009375844020393,Thursday,0,0,0,1,0,0.012498795103299987
2026-06-05,-0.012498795103299987,0.012498795103299987,0.017616574621100382,0.4555775023427018,0.02563446909160659,-0.008798070100752176,Friday,0,0,0,0,1,0.01887160799114973
2026-06-08,-0.01887160799114973,0.01887160799114973,0.01769590563265753,0.1935152787525658,0.05256867451148045,-0.024502287182075255,Monday,1,0,0,0,0,0.0364462426212111
2026-06-09,-0.0364462426212111,0.0364462426212111,0.01268427245743888,-0.10058149241577985,0.04319373907251695,-0.04482155537437871,Tuesday,0,1,0,0,0,0.0035450008604369643
2026-06-10,0.0035450008604369643,0.0035450008604369643,0.014935056700291927,-0.2469813973691508,0.025349109169704905,-0.02951592288848648,Wednesday,0,0,1,0,0,0.013889841552918725
2026-06-11,0.013889841552918725,0.013889841552918725,0.017541468450944123,-0.19359986177024924,0.025228108402560345,-0.005710864768874724,Thursday,0,0,0,1,0,0.015221729865034006
2026-06-12,-0.015221729865034006,0.015221729865034006,0.017650152055750247,-0.08897077378383511,0.025402830794176205,-0.01005148153941371,Friday,0,0,0,0,1,0.018170576718304687
2026-06-15,0.018170576718304687,0.018170576718304687,0.020219263710511116,0.1791368260376509,0.020671834625322943,0.01145832622448495,Monday,1,0,0,0,0,0.009513528102017332
2026-06-16,0.009513528102017332,0.009513528102017332,0.011654219351769881,-0.1280962039900969,0.0220494843265762,0.015061058344640443,Tuesday,0,1,0,0,0,0.010994519449271545
2026-06-17,-0.010994519449271545,0.010994519449271545,0.013557385587217988,0.07199244909090052,0.025627814987784336,0.0009334605004160945,Wednesday,0,0,1,0,0,0.006960635242439617
2026-06-18,0.006960635242439617,0.006960635242439617,0.012708266167712087,1.0110441066172324,0.016604609036932637,0.006280601046766865,Thursday,0,0,0,1,0,0.0033555920942249795
2026-06-22,-0.0033555920942249795,0.0033555920942249795,0.010187174142795474,-0.47791106465503363,0.019037368403350123,-0.0010628064817743699,Monday,1,0,0,0,0,0.009124271910036619
2026-06-23,-0.009124271910036619,0.009124271910036619,0.008301190730522713,0.15889101302645092,0.025072427723517598,-0.008763834531259396,Tuesday,0,1,0,0,0,0.0041454298335033
2026-06-24,-0.0041454298335033,0.0041454298335033,0.00625566140545729,0.020590480127743893,0.02288771139814796,-0.008759765955287935,Wednesday,0,0,1,0,0,0.061177835403302905
2026-06-25,-0.061177835403302905,0.061177835403302905,0.02407963089882562,1.0205332107905263,0.05236604036186504,-0.05612157387396677,Thursday,0,0,0,1,0,0.03136471015809561
2026-06-26,0.03136471015809561,0.03136471015809561,0.02968792400706194,1.44071346787339,0.04269090909090913,-0.016919324889837162,Friday,0,0,0,0,1,0.0071886672774683635
2026-06-29,-0.0071886672774683635,0.0071886672774683635,0.029574116468297964,-0.7462443403306154,0.029713319150420255,-0.013549945730191526,Monday,1,0,0,0,0,0.027046212820330817
2026-06-30,0.027046212820330817,0.027046212820330817,0.033127221578642,-0.019974512774187825,0.03288046377636307,0.01664664010512218,Tuesday,0,1,0,0,0,0.017348631462537956
2026-07-01,0.017348631462537956,0.017348631462537956,0.03405786465367704,-0.22942991456779172,0.02520106324972731,0.033340119768886955,Wednesday,0,0,1,0,0,0.048406821115564824
2026-07-02,0.048406821115564824,0.048406821115564824,0.01829949783870126,0.5030754582268897,0.05351557187542503,0.05848177846065217,Thursday,0,0,0,1,0,0.013057706639017619
2026-07-06,0.013057706639017619,0.013057706639017619,0.01816971115009994,-0.28926350027916214,0.023425299323269092,0.051474000686051014,Monday,1,0,0,0,0,0.006396724876863047
2026-07-07,-0.006396724876863047,0.006396724876863047,0.017936282378700853,-0.20712781794998714,0.016905071521456566,0.024813781182167816,Tuesday,0,1,0,0,0,0.008787742226227913
2026-07-08,0.008787742226227913,0.008787742226227913,0.017966735324062767,-0.0274540349515634,0.02491103202846969,0.017685033642480308,Wednesday,0,0,1,0,0,0.009030281757554715
2026-07-09,0.009030281757554715,0.009030281757554715,0.018171096680903446,0.16457979821641344,0.02695565360213825,0.012513127897743281,Thursday,0,0,0,1,0,0.0028461197900196966
2026-07-10,-0.0028461197900196966,0.0028461197900196966,0.007545809973477645,-0.29074945002014563,0.01506100660904934,0.0053244061852384394,Friday,0,0,0,0,1,0.006311049092984966
2026-07-13,0.006311049092984966,0.006311049092984966,0.006376492303213249,0.2673560640660797,0.024194438748955147,0.008678237650200149,Monday,1,0,0,0,0,0.007721155967350457
2026-07-14,-0.007721155967350457,0.007721155967350457,0.006775425015957766,-0.15999367420500588,0.013640999490056007,-0.001775410563692903,Tuesday,0,1,0,0,0,0.040144826271993894
2026-07-15,0.040144826271993894,0.040144826271993894,0.01671620694054265,0.6775719202135111,0.03592399603293303,0.029091069060651842,Wednesday,0,0,1,0,0,0.017587786259541938
2026-07-16,0.017587786259541938,0.017587786259541938,0.017067738695110055,0.03302248689270204,0.024054511364155994,0.03609513446292567,Thursday,0,0,0,1,0,0.0014403168697114666
2026-07-17,0.0014403168697114666,0.0014403168697114666,0.016462980723288768,0.006930883335635629,0.018041448280016834,0.025838061807250456,Friday,0,0,0,0,1,0.0214238628872776
2026-07-20,-0.0214238628872776,0.0214238628872776,0.021266287323982752,-0.1567499132864686,0.030074511626512264,-0.0018337968764327028,Monday,1,0,0,0,0,0.003521234575461607
2026-07-21,0.003521234575461607,0.003521234575461607,0.020266944802564163,-0.22684763195217594,0.022837867112307862,-0.006143750416962246,Tuesday,0,1,0,0,0,0.005644718374321123
2026-07-22,-0.005644718374321123,0.005644718374321123,0.012732351434082518,-0.062483204385833324,0.017261414585049064,-0.010787872901009021,Wednesday,0,0,1,0,0,0.012979839823253125
2026-07-23,-0.012979839823253125,0.012979839823253125,0.009247452727900974,0.053794323960083545,0.012277375439032694,-0.016703146207554198,Thursday,0,0,0,1,0,0.03531679413044819
2026-07-24,0.03531679413044819,0.03531679413044819,0.019589298195807132,0.1627940829138954,0.03962211380092607,0.018472077802923703,Friday,0,0,0,0,1,0.011680980121314244
2026-07-27,0.011680980121314244,0.011680980121314244,0.016691364404096493,0.04453375557479489,0.016589944401267445,0.02390561748580744,Monday,1,0,0,0,0,0.009409040990175255
2026-07-28,0.009409040990175255,0.009409040990175255,0.01665587340544609,0.045454630674435226,0.021439284768990867,0.025845218272641635,Tuesday,0,1,0,0,0,0.005557515878616748
2026-07-29,-0.005557515878616748,0.005557515878616748,0.016642081167983856,0.0816019316361456,0.02125158213875731,0.012629801300707788,Wednesday,0,0,1,0,0,0.014074928294745548
2026-07-30,-0.014074928294745548,0.014074928294745548,0.016916087090974953,0.3338682751051687,0.015490843590513434,-0.008610693196481889,Thursday,0,0,0,1,0,0.07353867378460244
2026-07-31,-0.07353867378460244,0.07353867378460244,0.0310572522148133,0.7708239371725913,0.035071027853416877,-0.06815604034943767,Friday,0,0,0,0,1,0.01777216665048076
2026-08-03,-0.01777216665048076,0.01777216665048076,0.028211577643307676,-0.4335237386292281,0.02984688933393633,-0.06584237975899465,Monday,1,0,0,0,0,0.019642739437083945
2026-08-04,0.019642739437083945,0.019642739437083945,0.03056617523200947,-0.09394801742062642,0.030060285737880988,-0.029140228326837714,Tuesday,0,1,0,0,0,0.005236279009632083
2026-08-05,0.005236279009632083,0.005236279009632083,0.03174548320055392,-0.2729697278284373,0.01952417895009039,-0.007113029486508271,Wednesday,0,0,1,0,0,0.00453376205787781
2026-08-06,0.00453376205787781,0.00453376205787781,0.0328369405203234,-0.06672622452143473,0.022457848189858062,0.010957077767422607,Thursday,0,0,0,1,0,0.0029448481162572815
2026-08-07,0.0029448481162572815,0.0029448481162572815,0.011964829514538002,-0.25363535131989123,0.013067908171456071,0.011041986654103608,Friday,0,0,0,0,1,0.016181023202374467
2026-08-10,-0.016181023202374467,0.016181023202374467,0.011419036374299937,0.3012821806517263,0.011895838086236605,-0.008414930711923674,Monday,1,0,0,0,0,0.010867449555569841
2026-08-11,-0.010867449555569841,0.010867449555569841,0.008893620126754246,-0.1636988900173686,0.023330625507717324,-0.016362240388151594,Tuesday,0,1,0,0,0,0.00872388573677485
2026-08-12,-0.00872388573677485,0.00872388573677485,0.008064155803139031,0.11156310102269829,0.016683054736152184,-0.019407459316359232,Wednesday,0,0,1,0,0,0.009958643507030684
2026-08-13,0.009958643507030684,0.009958643507030684,0.009584183330865897,-0.0314102042144937,0.012984451530192922,-0.005026042855001078,Thursday,0,0,0,1,0,0.0021948502915547508
2026-08-14,0.0021948502915547508,0.0021948502915547508,0.009470532703734746,-0.3003749087127656,0.010424836601307183,0.0019913402899234267,Friday,0,0,0,0,1,0.0011113653450136596
2026-08-17,-0.0011113653450136596,0.0011113653450136596,0.007547409302658672,0.3521115150441694,0.0154175239214918,0.0026313371917527917,Monday,1,0,0,0,0,0.014529271245786735
2026-08-18,0.014529271245786735,0.014529271245786735,0.008193475955546797,0.39967426146006546,0.01869432342805124,0.013792787725792177,Tuesday,0,1,0,0,0,0.02193336128761736
2026-08-19,0.02193336128761736,0.02193336128761736,0.008319359088937259,-0.054635739927357374,0.031211388405236264,0.02624316550491068,Wednesday,0,0,1,0,0,0.017454155225199552
